eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude,Source
C041076A,1976,4,10,4,24,59,154.83,-6.43,54.0,6.0,0,GCMT_000034
C041476A,1976,4,14,15,26,16,139.47,-51.9,33.0,5.4,0,GCMT_000035
C042276A,1976,4,22,17,3,7,52.13,28.71,24.0,6.0,0,GCMT_000036
C042976A,1976,4,29,6,32,49,-176.88,-28.2,62.0,5.3,0,GCMT_000037
C050476A,1976,5,4,13,56,29,167.57,-44.64,19.0,6.0,0,GCMT_000038
C050576A,1976,5,5,4,52,51,-177.84,-29.93,35.0,6.2,0,GCMT_000039
C050676A,1976,5,6,20,0,11,13.27,46.36,9.0,6.0,0,GCMT_000040
C051176A,1976,5,11,11,29,6,139.68,-51.51,33.0,5.6,0,GCMT_000041
B051176B,1976,5,11,15,50,41,139.68,-51.6,33.0,5.8,0,GCMT_000042
C051176C,1976,5,11,16,59,48,20.35,37.56,33.0,5.8,0,GCMT_000043
C051576A,1976,5,15,21,55,58,-74.48,-11.64,33.0,6.0,0,GCMT_000044
C051776A,1976,5,17,2,58,40,63.47,40.38,10.0,6.3,0,GCMT_000045
C051876A,1976,5,18,6,4,47,154.08,-59.95,33.0,5.3,0,GCMT_000046
C052976A,1976,5,29,12,23,18,98.95,24.57,8.0,6.1,0,GCMT_000047
B052976B,1976,5,29,14,0,18,98.71,24.53,10.0,6.0,0,GCMT_000048
C053076A,1976,5,30,3,8,54,-75.41,-41.64,28.0,6.0,0,GCMT_000049
C053176A,1976,5,31,5,8,28,98.64,24.34,14.0,5.5,0,GCMT_000050
C060376A,1976,6,3,16,44,38,153.44,-5.2,88.0,6.2,0,GCMT_000051
C060576A,1976,6,5,8,20,7,161.01,-10.09,61.0,6.2,0,GCMT_000052
C060776A,1976,6,7,7,36,55,124.83,14.09,33.0,6.1,0,GCMT_000053
C060776B,1976,6,7,14,26,39,-100.64,17.4,45.0,6.1,0,GCMT_000054
C061576A,1976,6,15,6,9,1,134.79,0.54,33.0,6.0,0,GCMT_000055
B061776A,1976,6,17,14,28,49,12.86,46.16,24.0,6.1,0,GCMT_000056
C061976A,1976,6,19,15,0,46,65.41,-18.02,33.0,5.6,0,GCMT_000057
C062076A,1976,6,20,20,53,13,96.32,3.4,33.0,6.3,0,GCMT_000058
C062576A,1976,6,25,19,18,56,140.09,-4.6,33.0,6.1,0,GCMT_000059
C062676A,1976,6,26,10,30,59,126.75,3.66,33.0,5.8,0,GCMT_000060
C062976A,1976,6,29,18,30,9,-177.83,-33.82,48.0,6.1,0,GCMT_000061
C071176A,1976,7,11,16,54,31,-78.47,7.34,22.0,6.3,0,GCMT_000062
C071176B,1976,7,11,20,41,47,-78.13,7.41,3.0,6.2,0,GCMT_000063
C071476A,1976,7,14,7,13,24,114.89,-8.17,40.0,6.2,0,GCMT_000064
C071776A,1976,7,17,21,6,32,152.76,-4.16,53.0,6.0,0,GCMT_000065
C072176A,1976,7,21,15,10,45,98.7,24.78,9.0,5.8,0,GCMT_000066
B072676A,1976,7,26,1,41,25,-113.33,-21.91,33.0,5.2,0,GCMT_000067
C072676B,1976,7,26,2,56,39,118.31,4.96,33.0,5.8,0,GCMT_000068
M072776A,1976,7,27,19,42,54,117.98,39.57,23.0,6.3,0,GCMT_000069
C072876A,1976,7,28,10,45,35,118.4,39.66,26.0,6.3,0,GCMT_000070
C072876B,1976,7,28,17,15,1,170.0,-20.2,5.0,5.6,0,GCMT_000071
B072876C,1976,7,28,18,24,28,72.79,39.29,50.0,5.1,0,GCMT_000072
C072876D,1976,7,28,20,17,42,45.6,43.17,21.0,5.4,0,GCMT_000073
C073176A,1976,7,31,0,46,58,-177.96,-30.32,20.0,5.8,0,GCMT_000074
C080276A,1976,8,2,10,55,25,169.27,-20.61,52.0,6.1,0,GCMT_000075
C081276A,1976,8,12,23,26,46,97.07,26.68,27.0,6.4,0,GCMT_000076
C081676A,1976,8,16,14,6,45,104.16,32.75,16.0,6.1,0,GCMT_000077
M081676B,1976,8,16,16,11,7,124.02,6.26,33.0,6.4,0,GCMT_000078
B081776A,1976,8,17,1,11,10,125.87,10.06,34.0,6.0,0,GCMT_000079
C081776B,1976,8,17,4,19,27,122.94,7.25,22.0,6.2,0,GCMT_000080
C082176A,1976,8,21,6,56,47,129.57,-6.72,120.0,6.0,0,GCMT_000081
C082176B,1976,8,21,21,49,54,104.25,32.57,33.0,6.1,0,GCMT_000082
C082376A,1976,8,23,3,30,7,104.18,32.49,33.0,6.2,0,GCMT_000083
C091576A,1976,9,15,3,15,19,13.2,46.3,10.0,5.7,0,GCMT_000084
C092276A,1976,9,22,0,16,8,149.23,44.88,64.0,6.1,0,GCMT_000085
C092976A,1976,9,29,21,2,32,124.07,6.92,41.0,6.0,0,GCMT_000086
C093076A,1976,9,30,23,34,14,-177.88,-30.24,32.0,5.7,0,GCMT_000087
C100576A,1976,10,5,18,2,15,153.0,-6.43,22.0,6.3,0,GCMT_000088
C101276A,1976,10,12,0,40,52,161.29,-10.45,106.0,6.0,0,GCMT_000089
C102976A,1976,10,29,2,51,7,139.92,-4.52,33.0,6.1,0,GCMT_000090
C110276A,1976,11,2,7,13,15,77.66,-29.35,33.0,5.8,0,GCMT_000091
C110676A,1976,11,6,18,4,8,101.05,27.6,33.0,5.8,0,GCMT_000092
C110776A,1976,11,7,4,0,51,59.15,33.8,13.0,5.6,0,GCMT_000093
C110776B,1976,11,7,17,9,6,126.38,8.48,60.0,6.0,0,GCMT_000094
C110876A,1976,11,8,8,19,27,142.24,38.09,38.0,5.9,0,GCMT_000095
C111576A,1976,11,15,13,53,0,117.69,39.44,15.0,6.0,0,GCMT_000096
C111676A,1976,11,16,18,20,50,80.21,-41.64,33.0,5.3,0,GCMT_000097
C111876A,1976,11,18,3,24,0,156.94,-8.82,33.0,6.1,0,GCMT_000098
C111876B,1976,11,18,5,43,41,135.14,-4.17,33.0,5.8,0,GCMT_000099
B112276A,1976,11,22,4,22,25,123.58,7.03,60.0,6.0,0,GCMT_000100
C112276B,1976,11,22,4,46,26,78.57,-38.52,33.0,5.5,0,GCMT_000101
C112476A,1976,11,24,12,22,18,44.03,39.12,36.0,6.1,0,GCMT_000102
C112576A,1976,11,25,14,6,35,-177.71,-19.5,442.0,6.0,0,GCMT_000103
C112676A,1976,11,26,11,19,25,-125.71,41.29,15.0,6.0,0,GCMT_000104
C112776A,1976,11,27,21,42,12,71.04,36.51,190.0,6.1,0,GCMT_000105
M113076A,1976,11,30,0,40,57,-68.92,-20.52,82.0,6.5,0,GCMT_000106
C121476A,1976,12,14,16,6,44,130.7,28.29,41.0,6.3,0,GCMT_000107
C122076A,1976,12,20,20,33,7,-129.29,48.8,10.0,5.9,0,GCMT_000108
B010177C,1977,1,1,11,33,41,137.06,30.66,476.0,5.2,0,GCMT_000109
B010177A,1977,1,1,17,35,54,109.01,-7.89,113.0,5.7,0,GCMT_000110
B010177D,1977,1,1,19,1,39,126.58,-2.53,33.0,6.0,0,GCMT_000111
B010177B,1977,1,1,21,39,41,91.01,38.15,27.0,5.9,0,GCMT_000112
B010177E,1977,1,1,23,24,16,-142.93,-56.15,33.0,5.4,0,GCMT_000113
C010277A,1977,1,2,9,55,28,118.99,-10.17,19.0,5.8,0,GCMT_000114
B010577A,1977,1,5,5,44,39,56.2,27.46,29.0,5.5,0,GCMT_000115
B010577B,1977,1,5,13,29,48,-178.31,-20.81,575.0,5.2,0,GCMT_000116
C010677A,1977,1,6,6,11,40,144.45,-3.63,33.0,6.0,0,GCMT_000117
B010677B,1977,1,6,16,2,7,-175.48,51.48,38.0,5.2,0,GCMT_000118
B010677C,1977,1,6,18,33,43,28.7,-2.51,21.0,5.3,0,GCMT_000119
B010777A,1977,1,7,14,38,22,-13.24,-31.28,33.0,5.3,0,GCMT_000120
B010777B,1977,1,7,19,36,46,120.28,21.17,33.0,5.7,0,GCMT_000121
B010877A,1977,1,8,6,41,4,121.91,15.32,36.0,5.3,0,GCMT_000122
B010877B,1977,1,8,7,40,41,166.11,-11.27,42.0,5.5,0,GCMT_000123
B010877C,1977,1,8,12,24,45,150.96,-5.6,61.0,5.3,0,GCMT_000124
B011077A,1977,1,10,9,31,49,-179.25,-20.72,653.0,5.5,0,GCMT_000125
B011177A,1977,1,11,7,2,34,-71.44,-31.68,35.0,5.4,0,GCMT_000126
B011277A,1977,1,12,23,35,19,99.86,1.58,178.0,5.6,0,GCMT_000127
B011477A,1977,1,14,17,58,35,-177.54,-19.8,350.0,5.2,0,GCMT_000128
B011577A,1977,1,15,10,49,5,125.96,12.96,33.0,5.6,0,GCMT_000129
B011777A,1977,1,17,6,23,36,142.58,26.68,33.0,5.6,0,GCMT_000130
B011777B,1977,1,17,19,4,37,-177.23,-14.87,36.0,5.3,0,GCMT_000131
C011777C,1977,1,17,21,27,12,-68.67,-24.85,33.0,6.3,0,GCMT_000132
B011877A,1977,1,18,5,41,49,174.25,-41.73,50.0,5.9,0,GCMT_000133
B011977A,1977,1,19,0,46,18,95.7,37.02,33.0,5.9,0,GCMT_000134
B011977B,1977,1,19,13,54,4,126.55,5.04,50.0,5.8,0,GCMT_000135
B012077A,1977,1,20,20,51,14,123.03,8.39,37.0,5.4,0,GCMT_000136
B012177A,1977,1,21,6,11,5,-178.38,-18.01,604.0,5.8,0,GCMT_000137
B012377A,1977,1,23,1,38,23,166.51,-13.38,39.0,5.5,0,GCMT_000138
B012577B,1977,1,25,2,37,41,134.36,-1.89,33.0,5.4,0,GCMT_000139
B012577A,1977,1,25,8,15,13,168.23,-15.92,266.0,5.6,0,GCMT_000140
B012577C,1977,1,25,10,31,4,164.66,-10.93,25.0,5.7,0,GCMT_000141
B012777A,1977,1,27,13,59,45,152.78,-6.51,58.0,5.7,0,GCMT_000142
B012977A,1977,1,29,0,52,52,151.81,-5.22,55.0,5.6,0,GCMT_000143
B012977B,1977,1,29,13,56,6,56.33,-33.75,33.0,5.3,0,GCMT_000144
B013177A,1977,1,31,14,26,14,70.85,40.04,20.0,6.1,0,GCMT_000145
B020377A,1977,2,3,10,38,23,150.44,45.37,33.0,5.5,0,GCMT_000146
B020377B,1977,2,3,21,31,48,130.93,42.97,506.0,5.0,0,GCMT_000147
B020477A,1977,2,4,7,46,33,-63.36,-24.69,549.0,6.0,0,GCMT_000148
C020577A,1977,2,5,3,29,18,-82.58,-66.45,33.0,6.2,0,GCMT_000149
B020677A,1977,2,6,3,9,14,-175.26,-21.82,33.0,5.6,0,GCMT_000150
B021077A,1977,2,10,7,55,56,169.94,-21.82,41.0,5.2,0,GCMT_000151
B021077B,1977,2,10,22,41,6,-23.09,-60.93,33.0,6.3,0,GCMT_000152
B021277A,1977,2,12,4,49,16,71.28,36.99,98.0,5.4,0,GCMT_000153
B021377A,1977,2,13,13,6,51,125.06,-0.12,33.0,5.8,0,GCMT_000154
B021677A,1977,2,16,10,40,20,125.98,0.5,33.0,6.1,0,GCMT_000155
B021877A,1977,2,18,4,8,13,142.04,41.41,5.0,5.5,0,GCMT_000156
B021877B,1977,2,18,20,51,29,140.82,33.07,42.0,6.0,0,GCMT_000157
B021977B,1977,2,19,6,15,25,78.42,31.79,40.0,5.4,0,GCMT_000158
B021977C,1977,2,19,7,53,23,80.64,-41.37,33.0,5.8,0,GCMT_000159
C021977A,1977,2,19,22,34,4,170.03,53.57,33.0,6.2,0,GCMT_000160
B022277A,1977,2,22,14,10,8,-75.29,-45.61,33.0,5.2,0,GCMT_000161
B022477A,1977,2,24,8,51,16,-13.62,-11.69,33.0,5.1,0,GCMT_000162
B022477B,1977,2,24,11,40,0,142.51,42.39,75.0,5.3,0,GCMT_000163
B022577A,1977,2,25,0,59,38,147.56,-6.28,49.0,5.4,0,GCMT_000164
B022577B,1977,2,25,1,18,52,147.53,-6.29,52.0,5.9,0,GCMT_000165
B022777A,1977,2,27,18,34,8,145.29,18.65,579.0,5.0,0,GCMT_000166
B022877A,1977,2,28,1,32,2,-82.5,4.04,33.0,5.1,0,GCMT_000167
B022877B,1977,2,28,1,50,31,126.12,9.22,64.0,5.7,0,GCMT_000168
B022877C,1977,2,28,8,43,55,54.95,14.88,33.0,5.1,0,GCMT_000169
B030277A,1977,3,2,5,5,23,177.98,-16.37,33.0,5.5,0,GCMT_000170
B030277B,1977,3,2,9,53,23,123.74,6.77,52.0,6.1,0,GCMT_000171
C030477A,1977,3,4,19,21,54,26.76,45.77,94.0,6.4,0,GCMT_000172
B030677A,1977,3,6,12,47,18,123.6,-8.3,39.0,5.2,0,GCMT_000173
B030877A,1977,3,8,3,2,32,-178.71,-17.84,571.0,5.3,0,GCMT_000174
B030877B,1977,3,8,8,7,19,156.23,-8.32,33.0,5.3,0,GCMT_000175
B030877C,1977,3,8,13,8,56,-74.2,-11.96,41.0,5.6,0,GCMT_000176
B030877D,1977,3,8,23,17,28,100.02,0.45,22.0,5.5,0,GCMT_000177
B030977A,1977,3,9,14,27,53,130.88,41.61,528.0,5.9,0,GCMT_000178
B030977B,1977,3,9,23,1,15,127.17,2.59,59.0,5.5,0,GCMT_000179
B031277A,1977,3,12,2,57,50,-45.17,23.74,33.0,5.4,0,GCMT_000180
B031377A,1977,3,13,21,14,32,-74.41,-8.04,161.0,5.1,0,GCMT_000181
B031477A,1977,3,14,19,3,7,-178.51,-20.73,577.0,5.4,0,GCMT_000182
B031477B,1977,3,14,20,52,38,179.94,-31.01,368.0,5.0,0,GCMT_000183
B031577A,1977,3,15,8,54,58,131.01,-4.95,41.0,5.8,0,GCMT_000184
B031577B,1977,3,15,19,55,42,154.96,-6.73,31.0,5.5,0,GCMT_000185
B031777A,1977,3,17,12,42,30,169.38,-12.88,649.0,4.9,0,GCMT_000186
C031877A,1977,3,18,21,43,52,122.33,16.77,37.0,6.2,0,GCMT_000187
B031977A,1977,3,19,10,56,25,148.2,44.2,70.0,6.0,0,GCMT_000188
B031977B,1977,3,19,19,35,8,122.35,16.81,39.0,5.6,0,GCMT_000189
B032177B,1977,3,21,4,36,0,145.31,13.16,56.0,5.4,0,GCMT_000190
B032177C,1977,3,21,6,57,44,145.28,13.2,33.0,5.5,0,GCMT_000191
C032177A,1977,3,21,21,18,54,56.39,27.61,29.0,6.2,0,GCMT_000192
B032177D,1977,3,21,22,42,6,56.52,27.6,36.0,5.8,0,GCMT_000193
B032277A,1977,3,22,2,23,17,179.1,-33.6,336.0,5.6,0,GCMT_000194
B032277B,1977,3,22,11,57,30,56.47,27.58,39.0,5.7,0,GCMT_000195
B032377A,1977,3,23,2,11,14,-73.05,6.79,164.0,5.5,0,GCMT_000196
B032377B,1977,3,23,5,0,41,-178.16,-14.8,33.0,5.0,0,GCMT_000197
B032377C,1977,3,23,7,19,11,-177.95,-14.47,33.0,5.5,0,GCMT_000198
B032377D,1977,3,23,17,10,19,-177.96,-14.43,2.0,5.6,0,GCMT_000199
B032377E,1977,3,23,23,51,15,56.59,27.62,35.0,5.8,0,GCMT_000200
B032577A,1977,3,25,2,39,58,40.02,38.56,21.0,5.2,0,GCMT_000201
B032677A,1977,3,26,4,36,14,-168.26,52.3,38.0,5.7,0,GCMT_000202
B032677B,1977,3,26,8,19,18,-174.15,-18.59,93.0,5.6,0,GCMT_000203
B032677C,1977,3,26,22,26,54,-13.48,-0.98,33.0,5.3,0,GCMT_000204
B032877A,1977,3,28,1,15,41,167.1,-14.68,109.0,5.7,0,GCMT_000205
B033077A,1977,3,30,11,20,35,140.19,31.46,33.0,5.3,0,GCMT_000206
B040177A,1977,4,1,8,34,36,124.61,-48.98,33.0,5.8,0,GCMT_000207
B040177B,1977,4,1,13,36,24,56.33,27.55,29.0,6.2,0,GCMT_000208
C040277A,1977,4,2,7,15,22,-172.1,-16.7,33.0,6.8,0,GCMT_000209
B040277B,1977,4,2,20,39,6,-92.79,16.88,249.0,5.3,0,GCMT_000210
B040477A,1977,4,4,17,52,19,-34.86,7.3,33.0,5.5,0,GCMT_000211
B040577A,1977,4,5,10,42,35,144.19,12.01,17.0,5.6,0,GCMT_000212
B040677A,1977,4,6,13,36,37,50.68,31.98,41.0,5.5,0,GCMT_000213
B040977A,1977,4,9,4,4,12,-71.18,-10.02,564.0,5.5,0,GCMT_000214
B040977B,1977,4,9,21,16,14,169.59,-19.08,25.0,5.4,0,GCMT_000215
B041177A,1977,4,11,2,15,18,114.59,-52.29,33.0,5.6,0,GCMT_000216
B041177B,1977,4,11,22,56,45,142.26,23.18,33.0,5.0,0,GCMT_000217
B041377A,1977,4,13,11,33,51,70.91,36.47,196.0,5.3,0,GCMT_000218
B041377B,1977,4,13,12,45,42,126.76,3.78,43.0,5.7,0,GCMT_000219
B041477A,1977,4,14,4,5,31,-178.65,-17.67,535.0,5.2,0,GCMT_000220
B041577A,1977,4,15,23,35,35,-68.71,-23.1,99.0,5.4,0,GCMT_000221
B041677A,1977,4,16,6,31,13,-179.21,-21.49,600.0,5.2,0,GCMT_000222
B041877A,1977,4,18,0,13,4,70.78,36.45,217.0,5.4,0,GCMT_000223
B041977A,1977,4,19,21,46,33,125.37,-5.54,526.0,5.7,0,GCMT_000224
B042077A,1977,4,20,15,21,45,148.34,-5.62,177.0,5.7,0,GCMT_000225
B042077B,1977,4,20,20,4,29,137.48,30.6,493.0,5.5,0,GCMT_000226
B042077C,1977,4,20,23,13,10,160.32,-9.83,33.0,6.4,0,GCMT_000227
M042077D,1977,4,20,23,42,50,160.35,-9.89,19.0,6.3,0,GCMT_000228
M042077E,1977,4,20,23,49,13,160.82,-9.84,33.0,6.8,0,GCMT_000229
C042177A,1977,4,21,4,24,9,160.73,-9.97,33.0,6.6,0,GCMT_000230
B042277B,1977,4,22,3,11,0,160.66,-10.17,51.0,5.6,0,GCMT_000231
B042277C,1977,4,22,5,26,36,119.01,-7.61,35.0,5.6,0,GCMT_000232
B042277A,1977,4,22,23,11,47,-178.28,-17.75,538.0,5.5,0,GCMT_000233
B042377A,1977,4,23,14,49,9,134.38,75.23,37.0,5.0,0,GCMT_000234
B042677A,1977,4,26,10,48,0,-89.27,-41.32,33.0,4.9,0,GCMT_000235
B042677B,1977,4,26,16,25,29,48.92,32.66,47.0,5.4,0,GCMT_000236
B042777A,1977,4,27,3,53,57,-127.24,-55.2,33.0,5.1,0,GCMT_000237
B050177A,1977,5,1,0,9,6,-77.13,-6.12,123.0,4.9,0,GCMT_000238
B050177B,1977,5,1,18,39,23,154.39,-7.2,32.0,5.6,0,GCMT_000239
B050277A,1977,5,2,21,53,56,123.26,7.19,24.0,5.7,0,GCMT_000240
B050777A,1977,5,7,2,13,32,-1.81,71.75,33.0,5.4,0,GCMT_000241
B050777B,1977,5,7,18,25,33,179.95,-25.75,450.0,5.4,0,GCMT_000242
B050877A,1977,5,8,16,45,16,-81.07,-1.25,27.0,5.1,0,GCMT_000243
B050977A,1977,5,9,15,2,44,126.75,27.13,109.0,5.4,0,GCMT_000244
B051077A,1977,5,10,22,28,31,127.35,-0.98,20.0,5.6,0,GCMT_000245
B051177A,1977,5,11,2,41,57,171.98,-43.15,33.0,5.0,0,GCMT_000246
B051177B,1977,5,11,3,22,25,126.88,2.0,77.0,5.7,0,GCMT_000247
B051277A,1977,5,12,8,9,52,121.71,13.03,33.0,5.4,0,GCMT_000248
B051277B,1977,5,12,11,17,53,117.71,39.27,22.0,5.8,0,GCMT_000249
B051277C,1977,5,12,12,20,0,92.99,21.75,40.0,5.4,0,GCMT_000250
B051277D,1977,5,12,14,0,57,121.15,16.0,16.0,5.0,0,GCMT_000251
B051277E,1977,5,12,21,37,33,154.99,50.16,126.0,5.3,0,GCMT_000252
C051377A,1977,5,13,11,13,31,139.5,28.42,430.0,5.8,0,GCMT_000253
B051477A,1977,5,14,6,4,39,-85.27,1.49,33.0,5.2,0,GCMT_000254
B051577B,1977,5,15,15,50,47,-168.03,52.45,33.0,5.3,0,GCMT_000255
B051577A,1977,5,15,23,12,53,-177.67,-19.13,499.0,5.5,0,GCMT_000256
B051977A,1977,5,19,17,2,53,-26.56,-60.35,33.0,5.2,0,GCMT_000257
B052077A,1977,5,20,21,4,58,-176.56,-23.87,48.0,5.6,0,GCMT_000258
B052077B,1977,5,20,22,51,13,101.98,-4.44,37.0,5.7,0,GCMT_000259
B052077C,1977,5,20,23,56,27,160.61,-10.22,33.0,5.4,0,GCMT_000260
C052177A,1977,5,21,5,35,22,120.82,15.7,189.0,5.7,0,GCMT_000261
B052177B,1977,5,21,13,40,55,140.0,27.58,340.0,5.1,0,GCMT_000262
B052277A,1977,5,22,23,27,3,-177.25,-19.52,350.0,5.2,0,GCMT_000263
B052377A,1977,5,23,17,7,42,99.42,-47.87,33.0,5.0,0,GCMT_000264
B052377B,1977,5,23,21,55,54,98.68,0.67,40.0,5.5,0,GCMT_000265
B052477B,1977,5,24,7,46,13,142.51,25.47,9.0,5.7,0,GCMT_000266
C052477A,1977,5,24,10,23,23,145.35,18.81,207.0,5.7,0,GCMT_000267
B052577A,1977,5,25,12,10,1,-178.62,-17.86,578.0,5.4,0,GCMT_000268
B052577B,1977,5,25,14,55,45,95.77,4.24,56.0,5.9,0,GCMT_000269
B052677A,1977,5,26,1,35,13,44.38,38.93,37.0,5.2,0,GCMT_000270
B052877A,1977,5,28,5,51,48,120.52,-1.73,54.0,5.9,0,GCMT_000271
B052877B,1977,5,28,15,10,13,175.69,-64.94,33.0,5.7,0,GCMT_000272
B052977A,1977,5,29,2,22,3,64.55,23.37,33.0,4.9,0,GCMT_000273
B052977B,1977,5,29,3,20,28,-179.05,-34.69,33.0,5.5,0,GCMT_000274
B053077A,1977,5,30,15,16,1,-169.71,52.43,33.0,5.6,0,GCMT_000275
B053177A,1977,5,31,14,47,59,166.51,-11.81,138.0,5.6,0,GCMT_000276
B060177A,1977,6,1,12,54,49,31.34,36.24,67.0,5.7,0,GCMT_000277
B060377B,1977,6,3,1,5,23,71.79,39.87,24.0,5.1,0,GCMT_000278
B060377A,1977,6,3,2,31,4,70.76,36.44,210.0,5.5,0,GCMT_000279
B060377C,1977,6,3,14,33,7,-177.63,-18.94,573.0,5.3,0,GCMT_000280
B060377D,1977,6,3,15,17,25,166.56,-14.15,38.0,5.4,0,GCMT_000281
B060577A,1977,6,5,2,46,5,-70.16,-23.87,32.0,5.6,0,GCMT_000282
B060577B,1977,6,5,4,45,7,48.09,32.64,40.0,5.5,0,GCMT_000283
B060577C,1977,6,5,8,25,30,48.16,32.56,33.0,5.1,0,GCMT_000284
B060677A,1977,6,6,6,38,46,-69.48,19.39,49.0,4.9,0,GCMT_000285
B060677B,1977,6,6,12,46,11,-175.64,-19.24,253.0,5.1,0,GCMT_000286
B060877A,1977,6,8,13,25,15,-67.26,-22.06,144.0,5.4,0,GCMT_000287
B060877B,1977,6,8,14,25,46,141.49,38.54,78.0,5.5,0,GCMT_000288
B060877C,1977,6,8,21,18,3,113.08,-5.88,636.0,5.4,0,GCMT_000289
B061077A,1977,6,10,2,35,14,101.49,-3.1,33.0,5.4,0,GCMT_000290
B061377A,1977,6,13,10,8,48,-174.06,-18.53,41.0,5.5,0,GCMT_000291
B061377B,1977,6,13,11,47,41,124.65,13.31,35.0,5.6,0,GCMT_000292
B061477A,1977,6,14,21,39,35,-14.43,-14.12,33.0,6.0,0,GCMT_000293
B061777A,1977,6,17,2,29,9,-179.1,-19.88,690.0,5.7,0,GCMT_000294
B061777B,1977,6,17,14,45,9,145.69,19.04,108.0,5.6,0,GCMT_000295
B061877A,1977,6,18,16,49,40,-68.45,-20.89,131.0,5.4,0,GCMT_000296
B061877B,1977,6,18,22,10,49,159.67,-9.77,11.0,5.6,0,GCMT_000297
B061977B,1977,6,19,7,32,13,124.93,4.65,271.0,5.7,0,GCMT_000298
B061977A,1977,6,19,11,47,23,151.09,47.15,149.0,5.6,0,GCMT_000299
G062277A,1977,6,22,12,8,33,-175.9,-22.88,65.0,6.8,0,GCMT_000300
B062477A,1977,6,24,0,30,20,-175.94,-22.89,33.0,5.5,0,GCMT_000301
B062477B,1977,6,24,16,20,30,100.83,-2.27,53.0,5.5,0,GCMT_000302
B062577A,1977,6,25,6,39,18,102.23,-4.6,47.0,5.5,0,GCMT_000303
B062577B,1977,6,25,15,24,42,-179.24,-21.32,633.0,5.4,0,GCMT_000304
B062677A,1977,6,26,5,59,21,-175.47,-22.7,51.0,5.4,0,GCMT_000305
B062877A,1977,6,28,7,12,49,14.71,38.63,261.0,5.3,0,GCMT_000306
B062877B,1977,6,28,15,38,37,-45.12,22.56,33.0,5.3,0,GCMT_000307
B062877C,1977,6,28,16,18,15,-45.14,22.65,33.0,5.5,0,GCMT_000308
C062877D,1977,6,28,19,18,35,-45.11,22.62,33.0,5.8,0,GCMT_000309
C062977A,1977,6,29,7,24,24,127.65,-7.6,58.0,6.0,0,GCMT_000310
